site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,76;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,95;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,95;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,29;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,39;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;13,87;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,75;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,46;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;15,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;12,89;;;;;;;
Knysna;SAWS;Knysna/ SAWS;July;14,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,38;14,89597674;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;13,82;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,21;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,86;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,04;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,55;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,02;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;13,52;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,53;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,45;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,82;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,11;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,90;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,52;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,61;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,63;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;13,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,38;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,34;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;13,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,90;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,97;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,42;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,29;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,87;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,63;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;16,53;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,52;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,88;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,29;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;14,67;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,34;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;13,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,10;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,06;;;;;;;
Knysna;SAWS;Knysna/ SAWS;August;15,50;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,79;15,83523256;;;;;;
